id_envio,nombre_producto,km_recorridos,tipo_entrega
225,TV_LG_54,22,2
226,NOTEBOOK_HP,14,2
227,CELULAR_MOTOG6,106,3
228,MOUSE_GENIUS,13,2
229,TV_LG_54,76,2
230,TECLADO_ESP,76,3
231,CELULAR_MOTOG5,76,2
232,CELULAR_MOTOG6,83,1
233,CELULAR_MOTOG6,57,3
234,CELULAR_MOTOG5,47,3
235,NOTEBOOK_HP,25,3
236,MONITOR_SAMSUNG_24,85,1
237,MOUSE_GENIUS,57,1
238,CELULAR_MOTOG6,11,2
239,TV_LG_54,86,3
240,CELULAR_MOTOG5,95,3
241,TV_LG_54,97,2
242,CELULAR_MOTOG5,102,2
243,NOTEBOOK_HP,52,1
244,TV_LG_54,31,2
245,CELULAR_MOTOG5,41,3
246,TECLADO_ESP,79,3
247,MONITOR_SAMSUNG_24,26,2
248,TECLADO_ESP,67,2
249,TV_LG_54,66,3
250,TECLADO_ESP,21,3
251,CELULAR_MOTOG6,20,2
252,CELULAR_MOTOG5,57,1
253,TECLADO_ESP,77,2
254,CELULAR_MOTOG5,37,2
255,TECLADO_ESP,28,3
256,MOUSE_GENIUS,66,2
257,TV_LG_54,79,3
258,MOUSE_GENIUS,46,1
259,TV_LG_54,80,3
260,TECLADO_ESP,11,1
261,NOTEBOOK_HP,110,3
262,TECLADO_ESP,26,2
263,TV_LG_54,17,3
264,NOTEBOOK_HP,64,1
265,NOTEBOOK_HP,83,3
266,TECLADO_ESP,34,3
267,CELULAR_MOTOG5,17,3
268,TV_LG_54,87,3
269,NOTEBOOK_HP,73,2
270,CELULAR_MOTOG6,110,2
271,NOTEBOOK_HP,16,1
272,TV_LG_54,24,3
273,TV_LG_54,46,3
274,CELULAR_MOTOG5,68,2
275,TV_LG_54,49,1
276,TV_LG_54,15,1
277,CELULAR_MOTOG6,70,2
278,TV_LG_54,75,2
279,MONITOR_SAMSUNG_24,86,1
280,MONITOR_SAMSUNG_24,97,2
281,TECLADO_ESP,68,1
282,TECLADO_ESP,56,3
283,CELULAR_MOTOG6,35,2
284,TV_LG_54,108,1
285,TECLADO_ESP,74,1
286,CELULAR_MOTOG5,92,1
287,CELULAR_MOTOG6,90,1
288,TECLADO_ESP,31,1
289,MOUSE_GENIUS,96,1
290,NOTEBOOK_HP,39,1
291,TV_LG_54,50,2
292,CELULAR_MOTOG6,52,3
293,TV_LG_54,97,3
294,MONITOR_SAMSUNG_24,101,2
295,MONITOR_SAMSUNG_24,32,1
296,MOUSE_GENIUS,42,3
297,MONITOR_SAMSUNG_24,29,1
298,TV_LG_54,63,1
299,NOTEBOOK_HP,72,3
300,TV_LG_54,51,2
301,TECLADO_ESP,39,1
302,TECLADO_ESP,59,1
303,MONITOR_SAMSUNG_24,11,1
304,TV_LG_54,50,1
305,MONITOR_SAMSUNG_24,103,3
306,TV_LG_54,107,3
307,NOTEBOOK_HP,32,3
308,MOUSE_GENIUS,53,2
309,CELULAR_MOTOG5,43,1
310,TV_LG_54,54,3
311,MONITOR_SAMSUNG_24,92,1
312,MONITOR_SAMSUNG_24,17,2
313,MOUSE_GENIUS,11,3
314,CELULAR_MOTOG5,10,1
315,MONITOR_SAMSUNG_24,73,1
316,TV_LG_54,93,1
317,MOUSE_GENIUS,61,2
318,MOUSE_GENIUS,53,3
319,CELULAR_MOTOG5,103,2
320,MONITOR_SAMSUNG_24,106,1
321,NOTEBOOK_HP,107,1
322,TECLADO_ESP,22,3
323,CELULAR_MOTOG6,101,1
324,NOTEBOOK_HP,87,3
325,NOTEBOOK_HP,70,2
326,TV_LG_54,81,1
327,MONITOR_SAMSUNG_24,48,1
328,MONITOR_SAMSUNG_24,11,3
329,TECLADO_ESP,79,2
330,MONITOR_SAMSUNG_24,53,1
331,NOTEBOOK_HP,36,3
332,MONITOR_SAMSUNG_24,102,1
333,CELULAR_MOTOG5,53,1
334,TV_LG_54,53,3
335,MONITOR_SAMSUNG_24,94,2
336,CELULAR_MOTOG6,41,1
337,MONITOR_SAMSUNG_24,84,2
338,MOUSE_GENIUS,62,1
339,TECLADO_ESP,44,3
340,NOTEBOOK_HP,35,3
341,CELULAR_MOTOG5,109,1
342,CELULAR_MOTOG5,77,1
343,NOTEBOOK_HP,72,1
344,MONITOR_SAMSUNG_24,51,3
345,CELULAR_MOTOG5,92,3
346,CELULAR_MOTOG6,52,3
347,MOUSE_GENIUS,78,3
348,TECLADO_ESP,101,2
349,NOTEBOOK_HP,96,2
350,CELULAR_MOTOG5,42,2
351,CELULAR_MOTOG6,21,1
352,TV_LG_54,79,3
353,CELULAR_MOTOG5,65,1
354,TV_LG_54,78,3
355,TV_LG_54,87,3
356,NOTEBOOK_HP,59,2
357,TV_LG_54,37,2
358,MOUSE_GENIUS,34,1
359,NOTEBOOK_HP,40,3
360,CELULAR_MOTOG5,88,2
361,TECLADO_ESP,32,2
362,CELULAR_MOTOG5,48,2
363,TECLADO_ESP,57,1
364,TECLADO_ESP,15,3
365,MONITOR_SAMSUNG_24,15,2
366,TECLADO_ESP,66,1
367,MOUSE_GENIUS,50,1
368,TECLADO_ESP,69,2
369,CELULAR_MOTOG6,52,1
370,TECLADO_ESP,57,3
371,TV_LG_54,13,3
372,NOTEBOOK_HP,32,2
373,NOTEBOOK_HP,108,3
374,MOUSE_GENIUS,69,2
375,TV_LG_54,72,2
376,CELULAR_MOTOG6,53,3
377,CELULAR_MOTOG5,71,1
378,TV_LG_54,37,2
379,TV_LG_54,17,3
380,CELULAR_MOTOG5,105,2
381,MONITOR_SAMSUNG_24,48,1
382,NOTEBOOK_HP,107,3
383,TV_LG_54,21,3
384,TECLADO_ESP,95,2
385,CELULAR_MOTOG6,71,1
386,CELULAR_MOTOG5,13,3
387,TV_LG_54,75,2
388,TECLADO_ESP,76,1
389,CELULAR_MOTOG5,61,1
390,NOTEBOOK_HP,34,3
391,MONITOR_SAMSUNG_24,93,1
392,TECLADO_ESP,10,3
393,NOTEBOOK_HP,48,3
394,MOUSE_GENIUS,78,3
395,MOUSE_GENIUS,67,3
396,TV_LG_54,60,3
397,CELULAR_MOTOG5,65,1
398,CELULAR_MOTOG5,97,3
399,TV_LG_54,44,3
400,CELULAR_MOTOG6,57,1
401,TECLADO_ESP,104,3
402,TV_LG_54,77,3
403,TECLADO_ESP,91,1
404,MONITOR_SAMSUNG_24,15,3
405,MONITOR_SAMSUNG_24,79,1
406,MOUSE_GENIUS,19,1
407,MONITOR_SAMSUNG_24,69,1
408,MOUSE_GENIUS,10,1
409,MONITOR_SAMSUNG_24,36,3
410,MONITOR_SAMSUNG_24,45,3
411,CELULAR_MOTOG5,71,1
412,TV_LG_54,12,1
413,CELULAR_MOTOG5,21,2
414,CELULAR_MOTOG6,79,1
415,TECLADO_ESP,81,3
416,NOTEBOOK_HP,32,3
417,MONITOR_SAMSUNG_24,45,3
418,CELULAR_MOTOG5,36,3
419,CELULAR_MOTOG5,38,2
420,TECLADO_ESP,107,2
421,TV_LG_54,36,1
422,NOTEBOOK_HP,46,2
423,TV_LG_54,99,3
424,CELULAR_MOTOG6,40,2
425,CELULAR_MOTOG6,70,3
426,TECLADO_ESP,78,2
427,MONITOR_SAMSUNG_24,21,1
428,CELULAR_MOTOG5,19,3
429,CELULAR_MOTOG6,29,1
430,CELULAR_MOTOG6,91,3
431,TECLADO_ESP,70,3
432,MONITOR_SAMSUNG_24,30,2
433,CELULAR_MOTOG5,50,1
434,TV_LG_54,85,1
435,NOTEBOOK_HP,92,1
436,MOUSE_GENIUS,44,3
437,NOTEBOOK_HP,51,1
438,MOUSE_GENIUS,77,3
439,MOUSE_GENIUS,21,3
440,MOUSE_GENIUS,84,1
441,TV_LG_54,98,1
442,TV_LG_54,107,3
443,CELULAR_MOTOG5,22,2
444,CELULAR_MOTOG6,104,2
445,MONITOR_SAMSUNG_24,45,3
446,MONITOR_SAMSUNG_24,77,1
447,MOUSE_GENIUS,39,2
448,TECLADO_ESP,46,2
449,CELULAR_MOTOG6,46,1
450,NOTEBOOK_HP,99,2
451,TV_LG_54,63,3
452,TECLADO_ESP,108,2
453,CELULAR_MOTOG6,82,3
454,MOUSE_GENIUS,97,2
455,MOUSE_GENIUS,71,1
456,NOTEBOOK_HP,51,3
457,CELULAR_MOTOG5,100,1
458,MOUSE_GENIUS,69,2
459,CELULAR_MOTOG6,60,3
460,NOTEBOOK_HP,69,1
461,TECLADO_ESP,103,3
462,TECLADO_ESP,51,1
463,CELULAR_MOTOG5,20,3
464,CELULAR_MOTOG5,85,3
465,MOUSE_GENIUS,34,1
466,TECLADO_ESP,50,1
467,CELULAR_MOTOG5,90,2
468,NOTEBOOK_HP,59,2
469,TECLADO_ESP,107,3
470,TV_LG_54,53,3
471,TECLADO_ESP,13,1
472,TECLADO_ESP,110,3
473,NOTEBOOK_HP,34,1
474,CELULAR_MOTOG5,69,1
475,MONITOR_SAMSUNG_24,68,2
476,MONITOR_SAMSUNG_24,15,1
477,TV_LG_54,82,3
478,MONITOR_SAMSUNG_24,33,3
479,TV_LG_54,43,2
480,TV_LG_54,79,1
481,MOUSE_GENIUS,60,3
482,TECLADO_ESP,93,3
483,CELULAR_MOTOG5,42,3
484,TV_LG_54,69,3
485,MOUSE_GENIUS,56,2
486,TECLADO_ESP,37,1
487,CELULAR_MOTOG5,93,3
488,TECLADO_ESP,42,3
489,TECLADO_ESP,82,2
490,MONITOR_SAMSUNG_24,78,1
491,TV_LG_54,71,1
492,MOUSE_GENIUS,21,1
493,CELULAR_MOTOG6,38,2
494,CELULAR_MOTOG6,84,1
495,NOTEBOOK_HP,104,3
496,CELULAR_MOTOG6,65,2
497,MONITOR_SAMSUNG_24,67,2
498,TV_LG_54,71,2
499,TECLADO_ESP,62,2
500,MOUSE_GENIUS,16,1
